Year,Month,Date,Region,Temp,Above 35,Burnoff,Hectares burned,Region Hectares,Hectare Percent Burnt,Bushfire,Severe Bushfire
1981,11,1/11/1981,1,23.4,0,0,0,460481,0,0,0
1981,12,1/12/1981,1,25.7,2,0,0,460481,0,0,0
1982,1,1/01/1982,1,30.3,11,0,0,460481,0,0,0
1982,2,1/02/1982,1,28.6,3,0,0,460481,0,0,0
1982,3,1/03/1982,1,26.2,1,0,0,460481,0,0,0
1982,4,1/04/1982,1,21.9,0,0,0,460481,0,0,0
1982,5,1/05/1982,1,18.2,0,0,0,460481,0,0,0
1982,6,1/06/1982,1,14.8,0,0,0,460481,0,0,0
1982,7,1/07/1982,1,14.6,0,0,0,460481,0,0,0
1982,8,1/08/1982,1,19.1,0,0,0,460481,0,0,0
1982,9,1/09/1982,1,18.2,0,0,0,460481,0,0,0
1982,10,1/10/1982,1,21.0,0,0,0,460481,0,0,0
1982,11,1/11/1982,1,26.5,4,0,0,460481,0,0,0
1982,12,1/12/1982,1,26.7,2,0,0,460481,0,0,0
1983,1,1/01/1983,1,27.4,6,0,0,460481,0,0,0
1983,2,1/02/1983,1,31.0,10,0,2169,460481,0.471029206,1,0
1983,3,1/03/1983,1,25.2,1,0,0,460481,0,0,0
1983,4,1/04/1983,1,19.6,0,0,0,460481,0,0,0
1983,5,1/05/1983,1,18.0,0,0,0,460481,0,0,0
1983,6,1/06/1983,1,15.7,0,0,0,460481,0,0,0
1983,7,1/07/1983,1,14.1,0,0,0,460481,0,0,0
1983,8,1/08/1983,1,16.6,0,0,0,460481,0,0,0
1983,9,1/09/1983,1,17.9,0,0,0,460481,0,0,0
1983,10,1/10/1983,1,20.9,0,0,0,460481,0,0,0
1983,11,1/11/1983,1,23.9,0,0,0,460481,0,0,0
1983,12,1/12/1983,1,27.7,5,0,2,460481,0.000434328,1,0
1984,1,1/01/1984,1,26.5,3,0,0,460481,0,0,0
1984,2,1/02/1984,1,27.7,0,0,0,460481,0,0,0
1984,3,1/03/1984,1,24.8,1,0,0,460481,0,0,0
1984,4,1/04/1984,1,21.1,0,0,0,460481,0,0,0
1984,5,1/05/1984,1,19.6,0,0,0,460481,0,0,0
1984,6,1/06/1984,1,16.2,0,0,0,460481,0,0,0
1984,7,1/07/1984,1,14.0,0,0,0,460481,0,0,0
1984,8,1/08/1984,1,15.5,0,0,0,460481,0,0,0
1984,9,1/09/1984,1,16.0,0,0,0,460481,0,0,0
1984,10,1/10/1984,1,20.8,0,0,0,460481,0,0,0
1984,11,1/11/1984,1,23.4,2,0,0,460481,0,0,0
1984,12,1/12/1984,1,26.1,2,0,0,460481,0,0,0
1985,1,1/01/1985,1,27.6,4,0,1293,460481,0.280793344,1,0
1985,2,1/02/1985,1,28.0,2,0,0,460481,0,0,0
1985,3,1/03/1985,1,26.8,2,0,0,460481,0,0,0
1985,4,1/04/1985,1,22.7,0,0,0,460481,0,0,0
1985,5,1/05/1985,1,18.7,0,0,0,460481,0,0,0
1985,6,1/06/1985,1,15.7,0,0,0,460481,0,0,0
1985,7,1/07/1985,1,15.4,0,0,0,460481,0,0,0
1985,8,1/08/1985,1,15.7,0,0,0,460481,0,0,0
1985,9,1/09/1985,1,17.2,0,0,0,460481,0,0,0
1985,10,1/10/1985,1,21.1,0,0,0,460481,0,0,0
1985,11,1/11/1985,1,23.5,0,0,0,460481,0,0,0
1985,12,1/12/1985,1,23.8,1,0,80,460481,0.017373138,1,0
1986,1,1/01/1986,1,26.5,1,0,0,460481,0,0,0
1986,2,1/02/1986,1,26.2,1,0,0,460481,0,0,0
1986,3,1/03/1986,1,27.9,5,0,0,460481,0,0,0
